code,lockup_days,listing,entry_date,entry_open,exit7_date,exit7_close,tpx_entry_open,tpx_exit7_close,net_1,net_3,net_5,net_7
246A,180,2024-09-26,2024-12-25,648.0,2025-01-08,668.0,2730.96,2770.0,2.1167,-0.4925,-9.4044,-1.8069
245A,180,2024-09-26,2024-12-25,2637.0,2025-01-08,2712.0,2730.96,2770.0,1.3593,2.8946,-3.1251,-1.5646
244A,90|180,2024-09-26,2024-12-25,2020.0,2025-01-08,2277.0,2730.96,2770.0,-1.2814,3.9742,-5.8529,-11.4432
241A,80|180|360,2024-09-25,2024-12-24,1288.0,2025-01-07,1500.0,2730.52,2786.57,-7.9557,-10.9338,-16.8689,-14.5569
228A,90|180,2024-08-21,2024-11-19,1355.0,2024-11-27,1449.0,2703.16,2665.34,-3.2169,-5.6261,-5.9629,-8.4864
220A,180,2024-07-31,2024-10-29,828.0,2024-11-07,894.0,2660.67,2743.08,-3.0915,-7.7778,-7.1407,-5.0237
219A,180,2024-07-30,2024-10-28,1229.0,2024-11-06,1275.0,2605.71,2715.92,-2.7896,-6.6409,-5.6681,0.3367
218A,90|180,2024-07-29,2024-10-28,435.0,2024-11-06,443.0,2605.71,2715.92,-5.0482,-4.8944,-0.0499,2.2405
215A,180|360,2024-07-26,2024-10-24,1050.0,2024-11-01,1175.0,2614.63,2644.26,1.3175,-12.7854,-12.7426,-10.9215
212A,180,2024-07-23,2024-10-21,1380.0,2024-10-29,1453.0,2686.97,2682.02,-2.3693,-0.7069,-1.2556,-5.6241
211A,180,2024-07-18,2024-10-16,2664.0,2024-10-24,2609.0,2692.14,2635.57,-0.8056,2.5855,-2.0361,-0.1867
206A,180,2024-07-02,2024-09-30,456.0,2024-10-08,398.0,2696.98,2699.15,8.0452,7.172,10.2684,12.6498
205A,180,2024-06-28,2024-09-26,2861.0,2024-10-04,2752.0,2673.59,2694.07,2.0472,1.7518,-0.1901,4.4259
196A,180,2024-06-21,2024-09-19,254.0,2024-09-30,268.0,2600.9,2645.94,-1.1108,0.8155,2.5037,-3.9301
198A,164|180,2024-06-20,2024-09-18,803.0,2024-09-27,820.0,2574.05,2740.94,1.0072,-0.859,3.3182,4.2165
197A,180,2024-06-20,2024-09-18,552.0,2024-09-27,627.0,2574.05,2740.94,0.5997,-0.9386,-2.4336,-7.2534
194A,180,2024-06-20,2024-09-18,1047.0,2024-09-27,1061.0,2574.05,2740.94,2.5691,-11.0592,-0.9049,4.9964
192A,180,2024-06-18,2024-09-17,4480.0,2024-09-26,4105.0,2574.84,2721.12,4.0197,6.1698,9.5036,13.9017
190A,90|180|360,2024-06-14,2024-09-12,577.0,2024-09-24,369.0,2568.39,2656.73,9.8009,17.7291,27.5608,39.338
189A,90|180,2024-06-11,2024-09-09,849.0,2024-09-18,843.0,2553.66,2565.37,-0.8959,-0.2258,1.359,1.0153
186A,180,2024-06-05,2024-09-03,1090.0,2024-09-11,889.0,2717.45,2530.67,0.1569,8.7689,5.516,11.417
184A,90|180,2024-05-28,2024-08-26,777.0,2024-09-03,810.0,2671.0,2733.27,-6.0431,-4.3786,-2.8385,-2.0658
177A,90|180,2024-04-25,2024-07-24,2269.0,2024-08-01,1803.0,2820.38,2703.69,3.0263,1.6915,5.5335,16.2503
175A,180,2024-04-16,2024-07-16,1291.0,2024-07-24,1247.0,2905.76,2793.12,2.1304,-5.9979,-3.9267,-0.6182
173A,180,2024-04-11,2024-07-10,1370.0,2024-07-19,1395.0,2891.67,2860.83,1.9161,-1.5099,-1.8177,-3.0413
168A,90|180,2024-04-08,2024-07-08,1428.0,2024-07-17,1341.0,2877.86,2915.21,0.5443,9.3424,8.6236,7.2403
160A,90|180,2024-04-04,2024-07-03,2418.0,2024-07-11,2349.0,2860.99,2929.17,-1.0823,4.5067,7.2614,5.0867
157A,90|180,2024-03-29,2024-06-27,1030.0,2024-07-05,1023.0,2792.73,2884.18,-5.0667,-3.098,1.2386,3.8042
156A,180|360,2024-03-29,2024-06-27,966.0,2024-07-05,990.0,2792.73,2884.18,-1.254,-0.8836,-1.2389,0.6401
155A,180,2024-03-28,2024-06-26,783.0,2024-07-04,637.0,2794.02,2898.47,7.8324,13.8187,16.6499,22.2346
153A,90|180,2024-03-28,2024-06-26,2344.0,2024-07-04,2069.0,2794.02,2898.47,2.5587,7.4906,9.727,15.3204
149A,90|180,2024-03-27,2024-06-25,845.0,2024-07-03,798.0,2754.0,2872.18,2.1268,-1.1937,1.4552,9.7033
151A,180,2024-03-27,2024-06-25,3550.0,2024-07-03,3475.0,2754.0,2872.18,-0.6284,-2.3704,3.5287,6.2539
146A,90|180,2024-03-27,2024-06-25,4105.0,2024-07-03,3840.0,2754.0,2872.18,-0.8872,1.4133,7.1522,10.5968
150A,90|180,2024-03-26,2024-06-24,648.0,2024-07-02,666.0,2725.5,2856.62,2.7038,-1.1663,0.622,1.8831
148A,90|180,2024-03-26,2024-06-24,1968.0,2024-07-02,2175.0,2725.5,2856.62,-4.8448,-11.9933,-10.427,-5.8574
147A,180,2024-03-26,2024-06-24,1580.0,2024-07-02,1428.0,2725.5,2856.62,3.2371,7.4385,6.1013,14.2811
145A,90|180,2024-03-26,2024-06-24,902.0,2024-07-02,924.0,2725.5,2856.62,0.8324,1.6939,4.0454,2.2218
143A,180,2024-03-26,2024-06-24,1086.0,2024-07-02,1132.0,2725.5,2856.62,0.4811,-0.8074,-0.5623,0.4251
142A,90|180,2024-03-25,2024-06-24,3695.0,2024-07-02,3560.0,2725.5,2856.62,4.5838,2.827,4.9665,8.3144
141A,180,2024-03-21,2024-06-19,2697.0,2024-06-27,2504.0,2726.07,2793.7,1.4645,6.6218,8.402,9.487
5858,90|180,2024-03-21,2024-06-19,2431.0,2024-06-27,2340.0,2726.07,2793.7,5.1685,6.9981,8.3924,6.0742
138A,180,2024-02-29,2024-05-29,4675.0,2024-06-06,4095.0,2767.69,2757.23,1.5819,3.232,9.1212,11.8785
137A,90|180,2024-02-28,2024-05-28,1520.0,2024-06-05,1520.0,2766.15,2748.22,-7.3677,-0.0153,2.3197,-0.7982
135A,90|180,2024-02-22,2024-05-22,4170.0,2024-05-30,3460.0,2753.93,2726.2,0.927,7.8297,6.6141,15.8695
130A,90|180,2024-02-08,2024-05-08,1580.0,2024-05-16,1110.0,2735.14,2737.54,4.1801,24.5966,24.1272,29.6846
5871,180,2024-02-07,2024-05-07,2690.0,2024-05-15,2545.0,2749.74,2730.88,-4.5531,-1.4694,4.4559,4.5545
